state_census_code,state,sector,observations,employment,members,covered,p_members,p_covered,state_abbreviation,year
14,Massachusetts,Priv. Construction,329,115573.53666666673,28000.0975,28383.064999999995,0.2422708421945572,0.2455844581127166,MA,1989
14,Massachusetts,Priv. Construction,309,113446.78583333344,23733.908333333336,24747.719166666677,0.2092074155807495,0.2181438505649566,MA,1990
14,Massachusetts,Priv. Construction,215,78675.05499999995,19073.255,19798.584166666664,0.2424307763576507,0.2516500949859619,MA,1991
14,Massachusetts,Priv. Construction,203,73887.80249999999,19057.03833333333,19057.03833333333,0.2579185962677002,0.2579185962677002,MA,1992
14,Massachusetts,Priv. Construction,238,89289.96833333328,23447.63916666666,23808.902499999997,0.2626010477542877,0.2666470110416412,MA,1993
14,Massachusetts,Priv. Construction,271,101431.65263333342,19004.130816666668,20449.28566666667,0.1873589754104614,0.2016065567731857,MA,1994
14,Massachusetts,Priv. Construction,299,112125.67565833342,24198.544166666663,25578.43468333333,0.2158162593841552,0.2281229048967361,MA,1995
14,Massachusetts,Priv. Construction,155,112688.94090000005,33300.12929166667,33300.12929166667,0.2955048680305481,0.2955048680305481,MA,1996
14,Massachusetts,Priv. Construction,166,119079.80191666668,26374.85936666667,27121.342766666672,0.2214889377355575,0.2277577072381973,MA,1997
14,Massachusetts,Priv. Construction,158,115339.45208333332,32151.96209166666,33473.4247,0.2787594497203827,0.2902165949344635,MA,1998
14,Massachusetts,Priv. Construction,164,120737.35521666663,33684.825675,35689.01328333334,0.2789925634860992,0.2955921292304992,MA,1999
14,Massachusetts,Priv. Construction,182,135682.64229166668,29258.05068333333,29950.93045,0.2156359106302261,0.2207425385713577,MA,2000
14,Massachusetts,Priv. Construction,191,144548.49721666664,40755.624225,41561.44883333333,0.2819512188434601,0.2875259816646576,MA,2001
14,Massachusetts,Priv. Construction,182,138763.35560833334,31682.76505,32510.010766666663,0.2283222824335098,0.234283834695816,MA,2002
14,Massachusetts,Priv. Construction,181,149664.85601666666,37862.422975,39323.90878333333,0.2529813945293426,0.2627464532852173,MA,2003
14,Massachusetts,Priv. Construction,164,146538.29552499996,36218.469575,38599.83935,0.2471604347229004,0.263411283493042,MA,2004
14,Massachusetts,Priv. Construction,161,156447.22545,27636.37628333334,27636.37628333334,0.1766498386859893,0.1766498386859893,MA,2005
14,Massachusetts,Priv. Construction,140,147334.29060000007,29399.196333333337,29399.196333333337,0.199540764093399,0.199540764093399,MA,2006
14,Massachusetts,Priv. Construction,125,138358.13259166674,22226.206975,24205.059116666667,0.1606425791978836,0.1749449670314788,MA,2007
14,Massachusetts,Priv. Construction,115,124487.35054999992,24853.790341666667,24853.790341666667,0.1996491253376007,0.1996491253376007,MA,2008
14,Massachusetts,Priv. Construction,95,103351.981575,21295.30210833333,21295.30210833333,0.206046387553215,0.206046387553215,MA,2009
14,Massachusetts,Priv. Construction,112,120442.3247083334,18809.295241666667,18809.295241666667,0.1561684906482696,0.1561684906482696,MA,2010
14,Massachusetts,Priv. Construction,115,127499.60363333332,18578.605958333337,19658.018483333337,0.1457150131464004,0.1541810184717178,MA,2011
14,Massachusetts,Priv. Construction,106,115407.59040833329,19061.468075,20319.20745833333,0.1651664972305297,0.1760647445917129,MA,2012
14,Massachusetts,Priv. Construction,109,124467.87634166662,25894.843600000004,25894.843600000004,0.2080443948507309,0.2080443948507309,MA,2013
14,Massachusetts,Priv. Construction,117,136034.19266666667,22257.372275,22257.372275,0.1636160165071487,0.1636160165071487,MA,2014
14,Massachusetts,Priv. Construction,153,148395.3913,25042.04178333333,26038.8004,0.1687521487474441,0.1754690706729889,MA,2015
14,Massachusetts,Priv. Construction,174,146595.19347499983,21324.051291666667,23017.406991666667,0.1454621404409408,0.1570133864879608,MA,2016
14,Massachusetts,Priv. Construction,189,160807.43875833324,27020.229400000004,27020.229400000004,0.1680284738540649,0.1680284738540649,MA,2017
14,Massachusetts,Priv. Construction,194,177342.71319999997,26785.64945833333,27667.615916666666,0.1510389000177383,0.1560121327638626,MA,2018
14,Massachusetts,Priv. Construction,184,176628.6165833332,32305.62780000001,33985.395958333334,0.1829014420509338,0.1924116015434265,MA,2019
14,Massachusetts,Priv. Construction,145,148028.2220999999,24386.102825,27665.108441666667,0.1647395491600036,0.1868907660245895,MA,2020
14,Massachusetts,Priv. Construction,153,161289.76945833332,33738.049016666664,34855.244875000004,0.2091766148805618,0.2161032557487487,MA,2021
14,Massachusetts,Priv. Construction,161,173051.77561666662,27995.19880833333,29749.020316666665,0.1617735475301742,0.1719081997871399,MA,2022
14,Massachusetts,Priv. Manufacturing,1247,678248.3708333335,180975.34583333344,199292.65666666665,0.2668275535106659,0.2938343286514282,MA,1983
14,Massachusetts,Priv. Manufacturing,1524,715254.446666667,161051.72666666677,173373.7191666668,0.2251670360565185,0.2423944622278213,MA,1984
